id,revenue,production_companies
373558,0,Apple Inc.
367326,0,Twentieth Century Fox Film Corporation
329205,0,J.B.J Film
386501,0,Side Gig Productions
321769,0,Epix
251471,0,Global Emerging Markets (GEM)
174340,0,Fresh One Productions
309298,0,Lions Gate Films
285840,0,Astron-6 Video International
308077,0,Versatile Film
321109,0,BBC
341886,0,Raven Banner Entertainment
308024,1100000,Duplass Brothers Productions
356216,0,Carnaby International
311615,0,Awesomeness Films
333873,0,20th Century Fox
293941,0,Vision Films
294132,104507,Burn Later Productions
301629,0,Andrea Sperling Productions
331592,0,Young Medium
342464,0,Sundial Pictures
332976,0,Steamroller Productions
367551,0,Screen Media Films
353610,0,WWE Studios
316410,0,The Asylum
106845,0,Signature Pictures
323966,0,Raging Pictures
354857,0,Cartoon Network Studios
333653,0,A+E Studios
323366,0,Alexander Groupe
75861,0,Two Streets Entertainment
283698,6921,Rai Cinema
329020,0,Melusine Productions
323272,67790117,Provident Films
343921,0,Gary Sanchez Productions
361671,0,Unframed USA
346494,0,Hessischer Rundfunk (HR)
321974,0,Jigsaw Productions
363757,0,Italian International Film
328820,0,KSM Film
359255,0,Sinister Siblings Films
355178,0,Home Box Office (HBO)
310491,0,Element Pictures
319096,0,Silver Screen Pictures
360341,0,Netflix
329556,0,Scatena & Rosner Films
241927,0,Whizbang Films
287692,0,Big Bad Film
321668,0,Compound B
315024,0,Little Dragon Productions
345944,0,Network Entertainment
300686,0,Tiberius Film
324253,0,Company Name
395560,0,Ecaveo Capital Partners
312827,28281,Campfire
308084,0,Duplass Brothers Productions
327029,0,Adi Shankar Production
249916,0,Parkville Pictures
331161,0,Tarnol Group Pictures
244563,0,Ad Hominem Enterprises
315855,0,National Film Board of Canada
347762,0,Marvista Entertainment
320996,0,New Wave Entertainment
312797,0,Chapman Filmed Entertainment
312804,0,BorderLine Films
339751,0,Cohen Media Group
351043,0,Infra-Red Pictures
295595,0,Valiant
371758,0,British Broadcasting Corporation (BBC)
317981,0,Fortress Features
309889,0,Safady Entertainment
333103,0,Comedy Central
319076,0,Passion Pictures
309063,0,La Luna Entertainment
355131,0,Netflix
332839,0,Manis Film
362434,0,Hybrid
371759,0,British Broadcasting Corporation (BBC)
316761,0,Type 55 Films
341077,0,Industrial Development Corporation of South Africa
321160,0,Lifetime Television
330037,0,Dharma Productions
347944,0,Lightning Entertainment
279972,0,ArieScope Pictures
362439,0,Cinetel Films
355600,0,Ghoulardi Film Company
308447,0,Warner Bros. Animation
348035,0,NetFlix
298032,0,Grizly Films
371833,0,Bentley Productions
300654,0,Tandem Pictures
365717,0,RatPac Entertainment
321594,0,Pig Newton
307931,1301696,Verisimilitude
332706,0,Super Crispy Entertainment
333377,44695,PF Pictures
