id,popularity,revenue,keywords
82702,3.489106,609123048,father-son relationship
270303,3.393741,13500000,friends
138103,3.34625,206172544,cia
137106,3.327799,469160692,father-son relationship
72784,3.280948,0,male friendship
68737,3.260581,114178613,magic
266856,3.170271,121201940,biography
193893,3.14993,136621271,corruption
49017,3.028769,215529201,vampire
270946,3.007018,373552094,penguin
224141,2.996038,212902372,witch
53182,2.979181,337580051,based on graphic novel
227156,2.881991,66980456,dystopia
187017,2.805019,188441614,high school
169917,2.777996,53181600,based on novel
116149,2.721864,259207227,england
284276,2.692691,2360281,suicide
212778,2.67235,45967935,father-son relationship
238636,2.611251,108782847,bus
218043,2.601775,19682924,airplane
85350,2.595951,44349000,daily life
241239,2.576396,12007070,new york city
184315,2.549403,243400000,mercenary
86834,2.526779,362637473,bible
205587,2.523101,83719388,father-son relationship
232672,2.445165,123494610,africa
195589,2.376309,268157400,alcohol
249164,2.361267,78874843,coma
243683,2.303556,86165646,street artist
200727,2.295091,4439431,based on novel
222935,2.293859,305151265,amsterdam
244267,2.260131,336472,independent film
168530,2.165462,153997819,police operation
244761,2.161064,1075178,family relationships
171274,2.160156,11110975,based on novel
137094,2.141491,50549107,london
225574,2.136758,222809600,airplane
262543,2.103532,0,artificial intelligence
321068,2.078514,0,dragon
154400,1.957672,18658381,crime boss
97020,1.940735,239379423,corruption
157353,1.904422,103039258,artificial intelligence
193610,1.900038,196781193,woman
82703,1.894706,272912430,father-son relationship
286532,1.875208,0,christmas
189,1.840817,39407616,detective
297270,1.827148,0,fairy
172385,1.811692,500188435,bird
100042,1.805954,169837010,friendship
204922,1.7894,15060457,amnesia
152760,1.779861,154984035,world war ii
227306,1.769987,163442937,prisoner of war
273895,1.754707,66787908,alabama
265177,1.737699,3494070,quebec
255343,1.655717,0,surfer
175112,1.649733,20300000,fairy
228970,1.649321,52501541,adventure
76649,1.638781,117831631,gladiator
239571,1.63015,35926213,nicholas sparks
196867,1.58801,133821816,musical
207933,1.570083,0,mental institution
228326,1.545055,97437106,love triangle
239563,1.542392,54837234,babysitter
136797,1.541069,203277636,street race
286554,1.53689,18612,sex
262338,1.466453,0,based on novel
170687,1.440084,108255770,based on novel
87093,1.398713,28883511,wife husband relationship
241254,1.394382,266586800,mobster
246080,1.384508,1171559,submarine
110416,1.37667,857522,fairy tale
253980,1.375493,0,marvel comic
242095,1.319416,600896,hacker
